s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
89.6909676,-56.5371275,9.4844292,2.3659232,-1.5836648,5.6766435,-5572.1990053,14.0000000
90.2586319,-56.8752130,9.0284237,2.5036140,-1.2092756,5.6766435,-5618.4857762,14.0000000
90.8262963,-57.1637949,8.5395850,2.6083051,-0.9206817,5.6766435,-5655.8205007,14.0000000
91.3939606,-57.4121671,8.0291400,2.6887387,-0.7078852,5.6766435,-5685.6974172,14.0000000
91.9616250,-57.6279773,7.5040983,2.7516102,-0.5535552,5.6766435,-5709.7233248,14.0000000
92.5292894,-57.8171833,6.9688938,2.8017846,-0.4418687,5.6766435,-5729.2643902,14.0000000
93.0969537,-57.9843202,6.4263921,2.8427346,-0.3606835,5.6766435,-5745.3848488,14.0000000
93.6646181,-58.1328073,5.8784921,2.8769384,-0.3012889,5.6766435,-5758.8854705,14.0000000
94.2322824,-58.2652112,5.3264849,2.9061811,-0.2576016,5.6766435,-5770.3617439,14.0000000
94.7999468,-58.3834487,4.7712707,2.9317688,-0.2254129,5.6766435,-5780.2558351,14.0000000
95.3676111,-58.4889368,4.2134938,2.9546778,-0.2018183,5.6766435,-5788.8968498,14.0000000
95.9352755,-58.5827011,3.6536268,2.9756566,-0.1848173,5.6766435,-5796.5303557,14.0000000
96.5029398,-58.6654511,3.0920262,2.9952987,-0.1730432,5.6766435,-5803.3395311,14.0000000
97.0706042,-58.7376316,2.5289695,3.0140940,-0.1655832,5.6766435,-5809.4601560,14.0000000
97.6382685,-58.7994556,1.9646818,3.0324668,-0.1618615,5.6766435,-5814.9911682,14.0000000
98.2059329,-58.8509211,1.3993553,3.0508061,-0.1615668,5.6766435,-5820.0020230,14.0000000
98.7735972,-58.7274757,0.8452758,-2.9223792,-2.6876754,5.6766435,-5840.9046433,14.0000000
99.3412616,-58.4408878,0.3552654,-2.6123792,-2.6876754,5.6766435,-5860.0018339,14.0000000
99.9089259,-58.0184786,-0.0239618,-2.3023792,-2.6876754,5.6766435,-5859.4893841,14.0000000
100.4765903,-57.5281139,-0.3099430,-2.0987721,-1.7814832,5.6766435,-5836.7076854,14.0000000
101.0442546,-57.0071684,-0.5354616,-1.9793414,-1.0497267,5.6766435,-5797.2106695,14.0000000
101.6119190,-56.4717201,-0.7239767,-1.9093136,-0.6164661,5.6766435,-5749.6024820,14.0000000
102.1795833,-55.9288253,-0.8898322,-1.8672934,-0.3701039,5.6766435,-5698.3585706,14.0000000
102.7472477,-55.3818040,-1.0415243,-1.8413048,-0.2289435,5.6766435,-5645.3948955,14.0000000
103.3149120,-54.8323409,-1.1841184,-1.8247104,-0.1461958,5.6766435,-5591.5567075,14.0000000
103.8825764,-54.2813509,-1.3206940,-1.8137722,-0.0963670,5.6766435,-5537.2449798,14.0000000
104.4502407,-53.7293604,-1.4531677,-1.8063344,-0.0655289,5.6766435,-5482.6650515,14.0000000
105.0179051,-53.1766868,-1.5827620,-1.8011212,-0.0459304,5.6766435,-5427.9295156,14.0000000
105.5855694,-52.6235293,-1.7102755,-1.7973578,-0.0331563,5.6766435,-5373.1038220,14.0000000
106.1532338,-52.0700176,-1.8362420,-1.7945622,-0.0246306,5.6766435,-5318.2279701,14.0000000
106.7208981,-51.5162381,-1.9610262,-1.7924267,-0.0188142,5.6766435,-5263.3275079,14.0000000
107.2885625,-50.9622503,-2.0848821,-1.7907507,-0.0147663,5.6766435,-5208.4194256,14.0000000
107.8562269,-50.4080957,-2.2079897,-1.7894001,-0.0118993,5.6766435,-5153.5154619,14.0000000
108.4238912,-49.8538039,-2.3304784,-1.7882834,-0.0098389,5.6766435,-5098.6240357,14.0000000
108.9915556,-49.2993964,-2.4524422,-1.7873366,-0.0083418,5.6766435,-5043.7514112,14.0000000
109.5592199,-48.7448888,-2.5739498,-1.7865139,-0.0072477,5.6766435,-4988.9024232,14.0000000
110.1268843,-48.1902924,-2.6950516,-1.7857819,-0.0064493,5.6766435,-4934.0809391,14.0000000
110.6945486,-47.6356154,-2.8157835,-1.7851152,-0.0058742,5.6766435,-4879.2901601,14.0000000
111.2622130,-47.0808634,-2.9361708,-1.7844939,-0.0054738,5.6766435,-4824.5328219,14.0000000
111.8298773,-46.5260403,-3.0562297,-1.7839019,-0.0052157,5.6766435,-4769.8113293,14.0000000
112.3975417,-45.9711481,-3.1759687,-1.7833254,-0.0050792,5.6766435,-4715.1278482,14.0000000
112.9652060,-45.4161873,-3.2953894,-1.7827519,-0.0050530,5.6766435,-4660.4843681,14.0000000
113.5328704,-44.8533941,-3.3695967,-1.7018955,-0.7115977,5.6766435,-4606.9537608,14.0000000
114.1005347,-44.2867607,-3.4037921,-1.6310716,-0.6234621,5.6766435,-4553.0656538,14.0000000
114.6681991,-43.7190987,-3.4021660,-1.5679319,-0.5559139,5.6766435,-4497.8328736,14.0000000
115.2358634,-43.1524630,-3.3680073,-1.5105857,-0.5049635,5.6766435,-4441.7296144,14.0000000
115.8035278,-42.5884382,-3.3038285,-1.4574965,-0.4675150,5.6766435,-4385.0919183,14.0000000
116.3711921,-42.0283358,-3.2114807,-1.4073898,-0.4412727,5.6766435,-4328.1650680,14.0000000
116.9388565,-41.4606935,-3.2164782,-1.5796000,1.5097450,5.6766435,-4271.4313166,14.0000000
117.5065208,-40.9019779,-3.3168761,-1.7485929,1.4818107,5.6766435,-4213.2871751,14.0000000
118.0741852,-40.3672471,-3.5074167,-1.9130991,1.4428304,5.6766435,-4153.6634277,14.0000000
118.6418495,-39.8694499,-3.7802551,-2.0721731,1.3955954,5.6766435,-4094.3870683,14.0000000
119.2095139,-39.4190703,-4.1257997,-2.2252335,1.3432571,5.6766435,-4037.2243809,14.0000000
119.7771782,-39.0240889,-4.5335158,-2.3720581,1.2889341,5.6766435,-3983.7761643,14.0000000
120.3448426,-38.7090582,-5.0057430,-2.5532785,1.5878920,5.6766435,-3933.4057056,14.0000000
120.9125069,-38.4447126,-5.5081017,-2.6571984,0.9139246,5.6766435,-3892.7035415,14.0000000
121.4801713,-38.2110009,-6.0254233,-2.7172657,0.5288960,5.6766435,-3863.2912824,14.0000000
122.0478356,-37.9958786,-6.5507472,-2.7529199,0.3140594,5.6766435,-3841.1957428,14.0000000
122.6155000,-37.7922825,-7.0806448,-2.7747653,0.1924501,5.6766435,-3823.8031943,14.0000000
123.1831644,-37.5960334,-7.6133070,-2.7885938,0.1218306,5.6766435,-3809.5702834,14.0000000
123.7508287,-37.4046078,-8.1477217,-2.7976343,0.0796489,5.6766435,-3797.6014915,14.0000000
124.3184931,-37.2164451,-8.6832940,-2.8037334,0.0537352,5.6766435,-3787.3716968,14.0000000
124.8861574,-37.0305564,-9.2196597,-2.8079760,0.0373781,5.6766435,-3778.5668855,14.0000000
125.4538218,-36.8462991,-9.7565881,-2.8110161,0.0267842,5.6766435,-3770.9950714,14.0000000
126.0214861,-36.6632462,-10.2939282,-2.8132583,0.0197551,5.6766435,-3764.5362074,14.0000000
126.5891505,-36.4811075,-10.8315790,-2.8149592,0.0149853,5.6766435,-3759.1135545,14.0000000
127.1568148,-36.2996818,-11.3694707,-2.8162851,0.0116819,5.6766435,-3754.6769786,14.0000000
127.7244792,-36.1188273,-11.9075548,-2.8173466,0.0093519,5.6766435,-3751.1929941,14.0000000
128.2921435,-35.9384420,-12.4457963,-2.8182186,0.0076831,5.6766435,-3748.6386990,14.0000000
128.8598079,-35.7584522,-12.9841703,-2.8189534,0.0064734,5.6766435,-3746.9980031,14.0000000
129.4274722,-35.5788041,-13.5226583,-2.8195879,0.0055901,5.6766435,-3746.2592342,14.0000000
129.9951366,-35.3994582,-14.0612471,-2.8201491,0.0049447,5.6766435,-3746.4135909,14.0000000
130.5628009,-35.2203860,-14.5999269,-2.8206573,0.0044776,5.6766435,-3747.4541261,14.0000000
131.1304653,-35.0415676,-15.1386910,-2.8211282,0.0041487,5.6766435,-3749.3750681,14.0000000
131.6981296,-34.8629895,-15.6775349,-2.8215744,0.0039311,5.6766435,-3752.1713639,14.0000000
132.2657940,-34.6846443,-16.2164559,-2.8220066,0.0038075,5.6766435,-3755.8383692,14.0000000
132.8334583,-34.5065297,-16.7554530,-2.8224342,0.0037677,5.6766435,-3760.3716386,14.0000000
133.4011227,-34.1901534,-17.2267798,-2.5504263,-2.3670441,5.6766435,-3781.1764212,14.0000000
133.9687870,-33.7450753,-17.5791267,-2.2404263,-2.6876754,5.6766435,-3804.1619124,14.0000000
134.5364514,-33.2137261,-17.7789036,-1.9304263,-2.6876754,5.6766435,-3810.4051004,14.0000000
135.1041157,-32.6467607,-17.8070652,-1.6204263,-2.6876754,5.6766435,-3797.2606968,14.0000000
135.6717801,-32.0982296,-17.6609267,-1.3104263,-2.6876754,5.6766435,-3765.7944128,14.0000000
136.2394444,-31.6204258,-17.3544200,-1.0004263,-2.6876754,5.6766435,-3718.5987917,14.0000000
136.8071088,-31.2401562,-16.9329490,-0.7340534,-2.3191848,5.6766435,-3660.5256191,14.0000000
137.3747731,-30.9466794,-16.4470332,-0.5433308,-1.6701658,5.6766435,-3599.4266169,14.0000000
137.9424375,-30.7196697,-15.9267357,-0.4114092,-1.1589080,5.6766435,-3541.5642081,14.0000000
138.5101019,-30.5409222,-15.3879481,-0.3203327,-0.8013075,5.6766435,-3489.0907377,14.0000000
139.0777662,-30.3969007,-14.8388573,-0.2565126,-0.5618966,5.6766435,-3441.8336948,14.0000000
139.6454306,-30.2781317,-14.2837567,-0.2107814,-0.4027680,5.6766435,-3398.9497959,14.0000000
140.2130949,-30.1780835,-13.7249784,-0.1771708,-0.2960651,5.6766435,-3359.5928528,14.0000000
140.7807593,-30.0922376,-13.1638427,-0.1518090,-0.2234225,5.6766435,-3323.0885464,14.0000000
141.3484236,-30.0174341,-12.6011285,-0.1321585,-0.1731172,5.6766435,-3288.9402595,14.0000000
141.9160880,-29.9514342,-12.0373140,-0.1165293,-0.1376929,5.6766435,-3256.7933739,14.0000000
142.4837523,-29.8926306,-11.4727035,-0.1037747,-0.1123692,5.6766435,-3226.3978210,14.0000000
143.0514167,-29.8398571,-10.9074976,-0.0931006,-0.0940414,5.6766435,-3197.5783392,14.0000000
